City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Ongandjera,NA,-17.88,15.07,77.9,17,25,11.43,scattered clouds
233,Inirida,CO,3.87,-67.92,78.17,90,98,1.88,light rain
234,Mitu,CO,1.2,-70.17,77.94,94,97,1.74,light rain
235,Sayat,TM,38.78,63.88,48.2,39,0,6.93,clear sky
236,Changping,CN,40.22,116.22,42.01,54,0,4.47,clear sky
237,Isangel,VU,-19.55,169.27,80.6,78,75,5.82,broken clouds
238,Sao Filipe,CV,14.9,-24.5,80.83,62,51,5.19,broken clouds
239,Padang,ID,-0.95,100.35,77.79,75,100,3.27,light rain
240,Sarangani,PH,5.4,125.46,83.21,70,100,3.33,overcast clouds
241,Buala,SB,-8.14,159.59,81.36,81,100,7.85,moderate rain
242,Mayo,US,38.89,-76.51,46.99,36,1,12.75,clear sky
243,Lagoa,PT,39.05,-27.98,62.37,63,100,13.91,overcast clouds
244,Carnarvon,AU,-24.87,113.63,60.8,82,40,5.82,scattered clouds
245,Umba,RU,66.69,34.34,38.5,90,100,21.88,moderate rain
246,Carndonagh,IE,55.25,-7.27,43.38,80,100,16.08,moderate rain
247,Klaksvik,FO,62.23,-6.59,42.8,81,0,16.11,light rain
248,Gobabis,NA,-22.45,18.97,69.96,52,97,18.34,overcast clouds
249,Raga,SS,8.46,25.68,74.77,72,13,1.61,few clouds
250,Benguela,AO,-12.58,13.41,78.94,75,94,5.7,light rain
251,Balkanabat,TM,39.51,54.37,65.59,28,29,2.44,scattered clouds
252,Coquimbo,CL,-29.95,-71.34,57.2,76,75,10.29,broken clouds
253,San Pedro,PH,14.35,121.02,78.8,94,20,2.24,few clouds
254,Prainha,BR,-1.8,-53.48,87.03,50,24,1.41,light rain
255,Marawi,PH,8.0,124.29,72.0,90,100,5.01,overcast clouds
256,Alekseyevsk,RU,57.84,108.35,23.0,96,100,10.69,light snow
257,Ialibu,PG,-6.28,143.99,62.47,91,100,0.67,overcast clouds
258,Bethel,US,41.37,-73.41,37.4,40,1,16.11,clear sky
259,Ramon,PH,16.78,121.53,73.89,90,100,2.57,overcast clouds
260,Port Augusta,AU,-32.5,137.77,77.0,40,15,8.05,few clouds
261,Imbituba,BR,-28.24,-48.67,68.0,60,75,8.05,broken clouds
262,Atlantis,ZA,-33.57,18.48,66.0,82,0,7.99,clear sky
